business_id,monthly_cash_flow_sar,business_age_months
BIZ-000073,8782.78,126
BIZ-000074,36212.54,141
BIZ-000075,25398.0,74
BIZ-000076,43935.83,109
BIZ-000077,14367.84,19
BIZ-000078,25810.58,73
BIZ-000079,41175.16,234
BIZ-000080,16165.8,237
BIZ-000081,34779.22,117
BIZ-000082,11362.5,225
BIZ-000083,15320.49,120
BIZ-000084,15036.89,31
BIZ-000085,6661.9,208
BIZ-000086,35845.47,100
BIZ-000087,13774.82,147
BIZ-000088,22303.39,156
BIZ-000089,35623.0,74
BIZ-000090,34424.75,176
BIZ-000091,42846.75,120
BIZ-000092,19960.58,88
BIZ-000093,14424.76,72
BIZ-000094,20338.72,179
BIZ-000095,4075.16,60
BIZ-000096,5181.7,30
BIZ-000097,5868.18,211
BIZ-000098,8125.42,80
BIZ-000099,32852.21,154
BIZ-000100,8906.36,172
BIZ-000101,15090.75,201
BIZ-000102,80759.29,150
BIZ-000103,15424.86,170
BIZ-000104,46051.5,201
BIZ-000105,8659.24,226
BIZ-000106,17935.95,12
BIZ-000107,8518.35,178
BIZ-000108,15692.95,42
BIZ-000109,51037.1,214
BIZ-000110,3915.43,12
BIZ-000111,34010.47,59
BIZ-000112,27937.79,46
BIZ-000113,12159.31,145
BIZ-000114,5187.16,2
BIZ-000115,23673.92,5
BIZ-000116,12971.47,121
BIZ-000117,27796.8,233
BIZ-000118,22513.09,127
BIZ-000119,109292.05,107
BIZ-000120,17337.8,158
BIZ-000121,7914.9,132
BIZ-000122,26351.37,92
BIZ-000123,27446.58,141
BIZ-000124,85749.68,1
BIZ-000125,50772.56,59
BIZ-000126,31472.55,162
BIZ-000127,95158.85,82
BIZ-000128,6709.21,13
BIZ-000129,11617.27,30
BIZ-000130,8720.43,208
BIZ-000131,14916.01,79
BIZ-000132,5559.78,6
BIZ-000133,41570.7,175
BIZ-000134,17637.41,127
BIZ-000135,5060.36,108
BIZ-000136,7977.82,214
BIZ-000137,30137.15,75
BIZ-000138,50925.88,137
BIZ-000139,162223.6,179
BIZ-000140,405900.15,146
BIZ-000141,33336.54,50
BIZ-000142,8188.3,163
BIZ-000143,2612.21,178
BIZ-000144,28787.93,30
BIZ-000145,9769.87,40
BIZ-000146,14539.77,162
BIZ-000147,11943.03,29
BIZ-000148,19133.75,211
BIZ-000149,63957.89,27
BIZ-000150,25772.12,233
BIZ-000151,18795.36,161
BIZ-000152,7819.27,106
BIZ-000153,4127.05,65
BIZ-000154,13543.91,83
BIZ-000155,20873.12,179
BIZ-000156,129046.74,181
BIZ-000157,25091.25,50
BIZ-000158,58849.55,130
BIZ-000159,13369.14,238
BIZ-000160,6734.89,62
BIZ-000161,8390.73,166
BIZ-000162,10665.55,42
BIZ-000163,185066.36,200
BIZ-000164,9687.71,41
BIZ-000165,50944.35,72
BIZ-000166,8929.12,110
BIZ-000167,55914.16,89
BIZ-000168,32368.82,41
BIZ-000169,18832.93,154
BIZ-000170,21146.66,5
BIZ-000171,11443.9,236
BIZ-000172,34408.96,13
BIZ-000173,13974.88,80
BIZ-000174,6466.53,223
BIZ-000175,6136.82,38
BIZ-000176,26175.73,18
BIZ-000177,106840.38,178
BIZ-000178,25848.08,18
BIZ-000179,19562.34,216
BIZ-000180,29314.17,108
BIZ-000181,81308.17,208
BIZ-000182,27429.72,59
BIZ-000183,14604.32,34
BIZ-000184,66588.6,231
BIZ-000185,33818.27,183
BIZ-000186,102309.31,218
BIZ-000187,26455.9,77
BIZ-000188,6473.88,97
BIZ-000189,5607.39,138
BIZ-000190,114797.84,108
BIZ-000191,123459.16,58
BIZ-000192,18406.9,90
BIZ-000193,15015.12,146
BIZ-000194,94982.15,10
BIZ-000195,7280.5,81
BIZ-000196,9002.64,70
BIZ-000197,41911.97,17
BIZ-000198,14844.65,30
BIZ-000199,21913.94,119
BIZ-000200,18705.2,25
BIZ-000201,30871.06,83
BIZ-000202,89992.52,135
BIZ-000203,24114.89,209
BIZ-000204,41937.63,24
BIZ-000205,2835.09,104
BIZ-000206,20979.09,25
BIZ-000207,9478.39,103
BIZ-000208,6510.6,115
BIZ-000209,9153.1,192
BIZ-000210,15770.19,106
BIZ-000211,55044.79,224
BIZ-000212,5846.55,33
BIZ-000213,22711.61,13
BIZ-000214,13572.9,2
BIZ-000215,15872.24,86
BIZ-000216,60039.49,47
BIZ-000217,37726.4,22
BIZ-000218,83901.44,57
BIZ-000219,18873.13,234
BIZ-000220,10982.49,192
BIZ-000221,17608.57,5
BIZ-000222,28071.13,219
BIZ-000223,26280.26,50
BIZ-000224,7447.34,98
BIZ-000225,24112.6,79
BIZ-000226,27673.44,97
BIZ-000227,273067.43,182
BIZ-000228,143895.79,171
BIZ-000229,9383.96,142
BIZ-000230,16524.78,150
BIZ-000231,5097.77,174
BIZ-000232,12201.24,45
BIZ-000233,30200.24,95
BIZ-000234,73559.78,26
BIZ-000235,10624.48,169
BIZ-000236,11451.24,105
BIZ-000237,2572.7,153
BIZ-000238,18719.74,135
BIZ-000239,7612.79,66
BIZ-000240,12972.16,34
BIZ-000241,9164.93,233
BIZ-000242,20045.05,71
BIZ-000243,3798.16,27
BIZ-000244,5079.43,74
BIZ-000245,185210.28,216
BIZ-000246,6078.89,63
BIZ-000247,7355.58,236
BIZ-000248,138263.08,111
BIZ-000249,402345.79,206
BIZ-000250,6825.59,157
BIZ-000251,15241.1,11
BIZ-000252,30994.21,122
BIZ-000253,124081.97,100
BIZ-000254,8210.29,49
BIZ-000255,17235.43,132
BIZ-000256,47922.36,25
BIZ-000257,34022.12,167
BIZ-000258,15121.06,197
BIZ-000259,19267.54,23
BIZ-000260,5569.74,115
BIZ-000261,17358.3,157
BIZ-000262,16875.4,15
BIZ-000263,27782.73,94
BIZ-000264,12640.65,62
BIZ-000265,35296.48,10
BIZ-000266,60640.35,193
BIZ-000267,25730.42,107
BIZ-000268,31311.99,180
BIZ-000269,23228.97,141
BIZ-000270,22028.32,210
BIZ-000271,10704.74,239
BIZ-000272,30227.1,144
BIZ-000273,19984.52,85
BIZ-000274,178647.22,102
BIZ-000275,106229.26,198
BIZ-000276,32397.82,102
BIZ-000277,10269.59,125
BIZ-000278,7241.54,47
BIZ-000279,72485.58,237
BIZ-000280,28645.43,156
BIZ-000281,35601.51,79
BIZ-000282,3848.4,140
BIZ-000283,55683.46,96
BIZ-000284,34697.41,38
BIZ-000285,7255.89,210
BIZ-000286,13745.62,212
BIZ-000287,28673.17,200
BIZ-000288,23212.98,89
BIZ-000289,16445.86,62
BIZ-000290,19860.97,12
BIZ-000291,17120.34,175
BIZ-000292,25656.76,79
BIZ-000293,95941.31,214
BIZ-000294,1691.45,208
BIZ-000295,17381.29,31
BIZ-000296,26278.66,220
BIZ-000297,29613.75,34
BIZ-000298,15185.33,118
BIZ-000299,3801.98,114
BIZ-000300,30576.76,229
BIZ-000301,123914.89,158
BIZ-000302,4751.13,210
BIZ-000303,52251.72,143
BIZ-000304,15858.72,198
BIZ-000305,20716.29,204
BIZ-000306,7685.58,206
BIZ-000307,15764.94,99
BIZ-000308,80825.24,92
BIZ-000309,39444.71,236
BIZ-000310,124531.2,181
BIZ-000311,71497.08,220
BIZ-000312,34169.43,138
BIZ-000313,125987.07,223
BIZ-000314,34166.24,173
BIZ-000315,50412.18,178
BIZ-000316,16373.66,43
BIZ-000317,23542.11,136
BIZ-000318,10966.23,175
BIZ-000319,59253.73,182
BIZ-000320,6779.76,229
BIZ-000321,48163.19,79
BIZ-000322,18203.13,73
BIZ-000323,71057.67,232
BIZ-000324,46670.57,236
BIZ-000325,136032.1,43
BIZ-000326,45742.11,91
BIZ-000327,4573.16,227
BIZ-000328,20600.01,48
BIZ-000329,6822.58,188
BIZ-000330,13117.73,27
BIZ-000331,99830.44,43
BIZ-000332,41669.88,188
BIZ-000333,10949.72,146
BIZ-000334,7992.69,133
BIZ-000335,22760.51,205
BIZ-000336,6525.28,74
BIZ-000337,11258.29,121
BIZ-000338,30091.84,146
BIZ-000339,69934.34,177
BIZ-000340,40488.02,80
BIZ-000341,2227.67,152
BIZ-000342,29862.74,108
BIZ-000343,23671.65,130
BIZ-000344,33319.24,207
BIZ-000345,110880.65,95
BIZ-000346,2798.28,160
BIZ-000347,12196.41,226
BIZ-000348,39771.52,183
BIZ-000349,4529.68,237
BIZ-000350,96369.89,140
BIZ-000351,31836.11,68
BIZ-000352,51358.41,237
BIZ-000353,12444.78,155
BIZ-000354,49700.17,58
BIZ-000355,64117.43,76
BIZ-000356,27802.41,63
BIZ-000357,27844.78,200
BIZ-000358,28863.79,23
BIZ-000359,9289.64,177
BIZ-000360,19005.26,133
BIZ-000361,18910.59,18
BIZ-000362,32318.46,147
BIZ-000363,59863.62,181
BIZ-000364,7642.38,174
BIZ-000365,19438.11,127
BIZ-000366,96902.01,81
BIZ-000367,10471.49,40
BIZ-000368,9679.35,3
BIZ-000369,26965.3,86
BIZ-000370,51245.61,152
BIZ-000371,22279.58,9
BIZ-000372,83196.5,239
BIZ-000373,51885.47,141
BIZ-000374,51114.32,71
BIZ-000375,38334.92,230
BIZ-000376,225856.04,44
BIZ-000377,17940.9,229
BIZ-000378,2970.48,68
BIZ-000379,109562.93,91
BIZ-000380,13936.97,102
BIZ-000381,24535.6,238
BIZ-000382,81597.24,60
BIZ-000383,4437.03,233
BIZ-000384,6300.3,83
BIZ-000385,4441.39,69
BIZ-000386,9955.33,153
BIZ-000387,34188.23,166
BIZ-000388,37204.61,83
BIZ-000389,29035.49,33
BIZ-000390,5362.76,95
BIZ-000391,2186.15,130
BIZ-000392,23256.82,10
BIZ-000393,13742.16,19
BIZ-000394,34870.13,220
BIZ-000395,44442.59,9
BIZ-000396,25291.95,98
BIZ-000397,47104.94,183
BIZ-000398,27700.66,79
BIZ-000399,37423.9,119
BIZ-000400,10887.02,21
BIZ-000401,18405.2,190
BIZ-000402,26816.59,152
BIZ-000403,50037.52,204
BIZ-000404,14857.48,207
BIZ-000405,37092.4,84
BIZ-000406,16884.67,10
BIZ-000407,19583.8,83
BIZ-000408,50489.42,35
BIZ-000409,3001.72,128
BIZ-000410,6024.13,35
BIZ-000411,5003.11,221
BIZ-000412,2135.35,144
BIZ-000413,11178.37,61
BIZ-000414,46603.64,221
BIZ-000415,16566.14,184
BIZ-000416,26843.8,105
BIZ-000417,65461.5,36
BIZ-000418,83090.54,83
BIZ-000419,20555.05,140
BIZ-000420,85270.68,184
BIZ-000421,24152.1,63
BIZ-000422,9533.83,178
BIZ-000423,12156.26,68
BIZ-000424,5011.36,59
BIZ-000425,9062.19,107
BIZ-000426,15397.85,39
BIZ-000427,49196.86,97
BIZ-000428,123102.16,86
BIZ-000429,5529.31,67
BIZ-000430,32624.78,186
BIZ-000431,7781.12,80
BIZ-000432,35408.14,167
BIZ-000433,19320.33,173
BIZ-000434,3530.14,160
BIZ-000435,55731.29,65
BIZ-000436,12028.08,199
BIZ-000437,12914.42,57
BIZ-000438,7557.14,67
BIZ-000439,11449.68,210
BIZ-000440,33789.0,82
BIZ-000441,18228.76,167
BIZ-000442,30597.15,11
BIZ-000443,31631.91,147
BIZ-000444,82508.92,208
BIZ-000445,15634.16,170
BIZ-000446,5029.83,140
BIZ-000447,64037.39,203
BIZ-000448,15811.8,72
BIZ-000449,67143.84,91
BIZ-000450,32317.92,17
BIZ-000451,19319.35,167
BIZ-000452,31218.8,173
BIZ-000453,154973.99,180
BIZ-000454,175778.6,179
BIZ-000455,23608.95,31
BIZ-000456,25853.22,160
BIZ-000457,64617.47,183
BIZ-000458,9455.38,49
BIZ-000459,30732.33,114
BIZ-000460,21464.1,219
BIZ-000461,30149.04,100
BIZ-000462,9572.32,181
BIZ-000463,4493.7,127
BIZ-000464,2771.15,158
BIZ-000465,7205.62,150
BIZ-000466,13923.38,156
BIZ-000467,16429.08,187
BIZ-000468,152852.88,217
BIZ-000469,66568.94,71
BIZ-000470,8416.16,222
BIZ-000471,31185.5,151
BIZ-000472,14660.64,143
BIZ-000473,16574.76,79
BIZ-000474,26511.28,100
BIZ-000475,40911.69,156
BIZ-000476,15689.41,87
BIZ-000477,63821.89,69
BIZ-000478,7030.84,196
BIZ-000479,22166.54,100
BIZ-000480,295869.49,155
BIZ-000481,27531.33,8
BIZ-000482,92338.32,19
BIZ-000483,24137.46,203
BIZ-000484,39370.7,34
BIZ-000485,20810.58,191
BIZ-000486,18575.38,216
BIZ-000487,10102.29,116
BIZ-000488,33870.56,212
BIZ-000489,9399.98,103
BIZ-000490,42855.33,228
BIZ-000491,65204.71,57
BIZ-000492,31778.06,103
BIZ-000493,16543.54,93
BIZ-000494,34681.64,188
BIZ-000495,16176.7,11
BIZ-000496,56136.82,198
BIZ-000497,3528.38,6
BIZ-000498,15746.8,76
BIZ-000499,3008.47,143
BIZ-000500,4939.1,35
BIZ-000501,86151.46,118
BIZ-000502,53916.13,239
BIZ-000503,10727.01,197
BIZ-000504,4902.48,8
BIZ-000505,1136.23,142
BIZ-000506,12791.09,143
BIZ-000507,247809.36,17
BIZ-000508,34026.14,156
BIZ-000509,12587.1,125
BIZ-000510,35069.26,163
BIZ-000511,4624.12,72
BIZ-000512,16361.34,62
BIZ-000513,24330.29,176
BIZ-000514,20209.32,173
BIZ-000515,48572.18,39
BIZ-000516,31090.12,52
BIZ-000517,42972.95,141
BIZ-000518,11065.95,199
BIZ-000519,54058.14,49
BIZ-000520,112300.88,53
BIZ-000521,8348.61,194
BIZ-000522,9066.16,167
BIZ-000523,83766.16,216
BIZ-000524,18190.52,188
BIZ-000525,89663.71,228
BIZ-000526,14149.92,46
BIZ-000527,94376.33,65
BIZ-000528,25121.66,57
BIZ-000529,28516.23,14
BIZ-000530,105315.72,187
BIZ-000531,15340.16,159
BIZ-000532,8594.5,21
BIZ-000533,14064.87,48
BIZ-000534,34625.09,46
BIZ-000535,4601.98,97
BIZ-000536,41667.26,109
BIZ-000537,12851.67,70
BIZ-000538,69411.83,223
BIZ-000539,2009.7,51
BIZ-000540,10030.99,135
BIZ-000541,4078.69,105
BIZ-000542,9640.91,93
BIZ-000543,28216.6,198
BIZ-000544,18412.28,234
BIZ-000545,17096.39,2
BIZ-000546,18785.02,111
BIZ-000547,26994.5,29
BIZ-000548,8034.21,104
BIZ-000549,44660.72,148
BIZ-000550,42730.4,99
BIZ-000551,32371.64,74
BIZ-000552,38427.69,75
BIZ-000553,29626.31,72
BIZ-000554,168564.43,78
BIZ-000555,20189.26,90
BIZ-000556,16202.43,165
BIZ-000557,10367.93,23
BIZ-000558,7845.83,10
BIZ-000559,6345.67,124
BIZ-000560,9056.18,163
BIZ-000561,20523.37,62
BIZ-000562,30769.99,49
BIZ-000563,23182.25,150
BIZ-000564,10244.18,92
BIZ-000565,54186.36,176
BIZ-000566,46138.95,36
BIZ-000567,18776.32,29
BIZ-000568,11465.34,133
BIZ-000569,38117.47,94
BIZ-000570,26581.58,175
BIZ-000571,5176.44,121
BIZ-000572,20578.86,85
BIZ-000573,28625.0,39
BIZ-000574,8958.03,40
BIZ-000575,26631.32,181
BIZ-000576,5141.9,55
BIZ-000577,83799.82,121
BIZ-000578,76722.48,196
BIZ-000579,17111.1,215
BIZ-000580,31680.43,64
BIZ-000581,1978.47,27
BIZ-000582,6930.26,186
BIZ-000583,16419.44,165
BIZ-000584,7539.17,80
BIZ-000585,44999.04,142
BIZ-000586,162315.38,46
BIZ-000587,6791.22,168
BIZ-000588,9533.21,174
BIZ-000589,27873.96,72
BIZ-000590,110317.31,112
BIZ-000591,6487.46,80
BIZ-000592,28255.29,8
BIZ-000593,136120.92,31
BIZ-000594,4222.75,230
BIZ-000595,6117.63,109
BIZ-000596,14420.32,36
BIZ-000597,13087.48,11
BIZ-000598,49642.43,85
BIZ-000599,28047.64,235
BIZ-000600,3733.26,92
BIZ-000601,36879.47,239
BIZ-000602,12362.97,117
BIZ-000603,78782.58,183
BIZ-000604,11759.45,188
BIZ-000605,11653.77,7
BIZ-000606,37840.36,2
BIZ-000607,47236.7,221
BIZ-000608,34478.78,223
BIZ-000609,4082.25,32
BIZ-000610,37723.35,155
BIZ-000611,7829.8,221
BIZ-000612,27869.16,228
BIZ-000613,5304.26,71
BIZ-000614,34417.56,196
BIZ-000615,9832.03,155
BIZ-000616,6108.07,222
BIZ-000617,44973.11,36
BIZ-000618,28047.21,144
BIZ-000619,11920.6,6
BIZ-000620,94012.11,86
BIZ-000621,14176.59,3
BIZ-000622,22745.16,106
BIZ-000623,28822.55,194
BIZ-000624,11852.97,158
BIZ-000625,35282.29,76
BIZ-000626,12920.21,103
BIZ-000627,14593.94,88
BIZ-000628,86046.46,175
BIZ-000629,7780.8,64
BIZ-000630,1972.82,22
BIZ-000631,110297.55,122
BIZ-000632,281905.72,199
BIZ-000633,14687.19,115
BIZ-000634,3175.31,49
BIZ-000635,16147.43,12
BIZ-000636,16543.97,226
BIZ-000637,18216.37,182
BIZ-000638,7234.47,38
BIZ-000639,39322.85,18
BIZ-000640,37216.5,31
BIZ-000641,4942.34,90
BIZ-000642,44320.24,195
BIZ-000643,171559.42,39
BIZ-000644,26159.31,196
BIZ-000645,15719.78,1
BIZ-000646,19110.57,177
BIZ-000647,40751.86,68
BIZ-000648,3902.33,230
BIZ-000649,25962.04,114
BIZ-000650,14906.25,65
BIZ-000651,139780.0,59
BIZ-000652,18505.57,198
BIZ-000653,116761.38,97
BIZ-000654,7304.6,85
BIZ-000655,39626.73,176
BIZ-000656,30315.07,129
BIZ-000657,9236.82,159
BIZ-000658,26301.89,107
BIZ-000659,74051.7,16
BIZ-000660,15933.97,2
BIZ-000661,4056.34,10
BIZ-000662,21643.0,138
BIZ-000663,8933.62,123
BIZ-000664,15641.13,179
BIZ-000665,20300.73,214
BIZ-000666,4001.19,42
BIZ-000667,4377.98,229
BIZ-000668,35670.06,223
BIZ-000669,13059.63,148
BIZ-000670,1694.69,127
BIZ-000671,48283.45,43
BIZ-000672,28922.34,43
BIZ-000673,10787.3,5
BIZ-000674,5902.73,155
BIZ-000675,50807.94,104
BIZ-000676,31236.75,46
BIZ-000677,238613.96,32
BIZ-000678,33529.76,16
BIZ-000679,32458.03,154
BIZ-000680,18640.13,164
BIZ-000681,49850.1,151
BIZ-000682,41154.36,27
BIZ-000683,77012.65,10
BIZ-000684,13077.87,26
BIZ-000685,14251.14,180
BIZ-000686,13641.84,177
BIZ-000687,48571.96,71
BIZ-000688,98555.43,14
BIZ-000689,13921.08,77
BIZ-000690,14403.5,194
BIZ-000691,30154.13,35
BIZ-000692,17227.09,191
BIZ-000693,57071.13,111
BIZ-000694,2317.45,34
BIZ-000695,9636.32,224
BIZ-000696,10072.7,124
BIZ-000697,2163.85,161
BIZ-000698,8403.15,24
BIZ-000699,8820.59,89
BIZ-000700,18013.83,152
BIZ-000701,67034.71,155
BIZ-000702,17239.17,16
BIZ-000703,7857.21,145
BIZ-000704,20807.01,226
BIZ-000705,62891.96,188
BIZ-000706,8300.25,50
BIZ-000707,8861.09,219
BIZ-000708,38505.21,164
BIZ-000709,17649.52,14
BIZ-000710,42086.6,31
BIZ-000711,21727.92,221
BIZ-000712,44429.71,51
BIZ-000713,7823.77,24
BIZ-000714,21761.89,108
BIZ-000715,17841.99,126
BIZ-000716,6529.65,137
BIZ-000717,4612.49,158
BIZ-000718,43728.22,239
BIZ-000719,15507.01,182
BIZ-000720,7924.54,7
BIZ-000721,20006.67,22
BIZ-000722,68051.42,1
BIZ-000723,2251.3,95
BIZ-000724,4931.32,84
BIZ-000725,8752.67,224
BIZ-000726,94956.95,88
BIZ-000727,29219.37,8
BIZ-000728,47444.56,212
BIZ-000729,7043.35,63
BIZ-000730,7190.13,219
BIZ-000731,34468.93,186
BIZ-000732,23348.18,211
BIZ-000733,38129.32,196
BIZ-000734,18257.46,35
BIZ-000735,29089.82,150
BIZ-000736,25799.72,99
BIZ-000737,47942.97,151
BIZ-000738,49365.56,179
BIZ-000739,4359.57,120
BIZ-000740,2327.92,75
BIZ-000741,59978.74,220
BIZ-000742,72238.26,159
BIZ-000743,7937.69,212
BIZ-000744,3429.48,57
BIZ-000745,24319.53,201
BIZ-000746,55873.09,78
BIZ-000747,132932.2,111
BIZ-000748,36912.21,206
BIZ-000749,15188.34,85
BIZ-000750,9017.02,60
BIZ-000751,22280.15,219
BIZ-000752,16329.61,231
BIZ-000753,7981.9,75
BIZ-000754,170886.63,74
BIZ-000755,131290.59,55
BIZ-000756,68600.06,6
BIZ-000757,8770.5,133
BIZ-000758,51793.47,61
BIZ-000759,41757.17,203
BIZ-000760,34287.83,41
BIZ-000761,76854.19,152
BIZ-000762,41579.86,122
BIZ-000763,46166.71,147
BIZ-000764,41643.74,27
BIZ-000765,30970.53,112
BIZ-000766,3701.11,150
BIZ-000767,23947.54,82
BIZ-000768,12629.72,210
BIZ-000769,6125.15,127
BIZ-000770,118399.13,87
BIZ-000771,124118.91,8
BIZ-000772,85752.51,41
BIZ-000773,28430.38,114
BIZ-000774,85018.58,96
BIZ-000775,22293.56,209
BIZ-000776,26978.55,188
BIZ-000777,7380.0,38
BIZ-000778,32760.91,142
BIZ-000779,23397.53,109
BIZ-000780,5987.01,25
BIZ-000781,20927.16,160
BIZ-000782,20338.49,129
BIZ-000783,132927.77,21
BIZ-000784,53863.77,112
BIZ-000785,22280.02,175
BIZ-000786,28248.26,79
BIZ-000787,23022.16,86
BIZ-000788,17981.27,27
BIZ-000789,7461.96,49
BIZ-000790,18938.42,235
BIZ-000791,10445.24,149
BIZ-000792,6308.7,43
BIZ-000793,36725.32,116
BIZ-000794,32573.84,47
BIZ-000795,3689.67,106
BIZ-000796,19483.35,35
BIZ-000797,59617.32,148
BIZ-000798,63527.22,137
BIZ-000799,61441.26,152
BIZ-000800,22900.48,107
BIZ-000801,9461.2,69
BIZ-000802,7452.47,60
BIZ-000803,31088.86,52
BIZ-000804,32185.78,103
BIZ-000805,79804.18,108
BIZ-000806,66169.81,161
BIZ-000807,19298.28,13
BIZ-000808,6347.36,68
BIZ-000809,16008.79,204
BIZ-000810,27370.78,219
BIZ-000811,17996.22,223
BIZ-000812,12358.58,74
BIZ-000813,28364.25,33
BIZ-000814,13306.96,48
BIZ-000815,11753.82,32
BIZ-000816,30075.1,229
BIZ-000817,14735.39,212
BIZ-000818,28116.29,194
BIZ-000819,28946.48,175
BIZ-000820,7048.51,83
BIZ-000821,13612.71,114
BIZ-000822,92760.57,202
BIZ-000823,6890.65,195
BIZ-000824,2652.73,124
BIZ-000825,3422.6,201
BIZ-000826,22677.08,83
BIZ-000827,22718.1,99
BIZ-000828,19582.45,201
BIZ-000829,74175.55,90
BIZ-000830,1521.06,180
BIZ-000831,32726.29,109
BIZ-000832,104970.87,72
BIZ-000833,7131.09,53
BIZ-000834,15065.96,145
BIZ-000835,10374.52,115
BIZ-000836,9006.07,89
BIZ-000837,15894.65,178
BIZ-000838,91810.81,1
BIZ-000839,138328.51,23
BIZ-000840,15741.58,230
BIZ-000841,148013.71,159
BIZ-000842,22824.2,132
BIZ-000843,127222.27,4
BIZ-000844,20064.38,144
BIZ-000845,25110.91,104
BIZ-000846,31744.49,144
BIZ-000847,529058.18,10
BIZ-000848,51600.44,132
BIZ-000849,10858.85,139
BIZ-000850,58046.39,70
BIZ-000851,15339.21,14
BIZ-000852,13497.37,233
BIZ-000853,54644.36,170
BIZ-000854,22721.92,149
BIZ-000855,29102.4,184
BIZ-000856,22336.67,161
BIZ-000857,30840.47,33
BIZ-000858,33690.32,109
BIZ-000859,3174.91,213
BIZ-000860,42897.66,69
BIZ-000861,8250.1,233
BIZ-000862,5206.7,16
BIZ-000863,20776.73,80
BIZ-000864,23956.17,84
BIZ-000865,11009.28,148
BIZ-000866,50565.86,43
BIZ-000867,5755.0,55
BIZ-000868,14662.61,159
BIZ-000869,12272.62,69
BIZ-000870,21023.85,211
BIZ-000871,29110.79,208
BIZ-000872,8039.38,73
BIZ-000873,45446.12,134
BIZ-000874,23458.83,80
BIZ-000875,3321.11,83
BIZ-000876,3106.99,161
BIZ-000877,21756.78,71
BIZ-000878,17659.56,36
BIZ-000879,19862.32,62
BIZ-000880,21418.65,223
BIZ-000881,27599.69,62
BIZ-000882,56820.34,87
BIZ-000883,7251.0,151
BIZ-000884,6822.82,25
BIZ-000885,7381.09,65
BIZ-000886,29404.9,42
BIZ-000887,76492.45,221
BIZ-000888,14309.24,223
BIZ-000889,1804.97,181
BIZ-000890,4007.84,60
BIZ-000891,9575.5,148
BIZ-000892,12610.32,159
BIZ-000893,14641.44,208
BIZ-000894,22892.88,38
BIZ-000895,16127.06,176
BIZ-000896,62902.4,47
BIZ-000897,11203.51,136
BIZ-000898,9299.18,211
BIZ-000899,35556.4,15
BIZ-000900,4742.68,36
BIZ-000901,32522.64,195
BIZ-000902,24405.24,5
BIZ-000903,19006.9,164
BIZ-000904,107826.22,120
BIZ-000905,11822.89,83
BIZ-000906,172870.52,207
BIZ-000907,17580.9,203
BIZ-000908,6142.48,78
BIZ-000909,23621.67,2
BIZ-000910,7508.23,31
BIZ-000911,10386.31,26
BIZ-000912,32762.29,235
BIZ-000913,38391.14,143
BIZ-000914,11823.36,162
BIZ-000915,59124.76,56
BIZ-000916,70088.06,204
BIZ-000917,92623.83,173
BIZ-000918,37399.53,180
BIZ-000919,86114.12,112
BIZ-000920,3358.34,167
BIZ-000921,16028.02,131
BIZ-000922,9255.7,92
BIZ-000923,24815.55,143
BIZ-000924,12438.49,78
BIZ-000925,18654.49,228
BIZ-000926,144664.84,172
BIZ-000927,18588.16,177
BIZ-000928,33315.98,172
BIZ-000929,17461.1,108
BIZ-000930,23758.92,228
